subject,object,predicat
compound/compound_718,has_side_effect,sideeffect_3974
compound/compound_718,has_side_effect,sideeffect_398
compound/compound_718,has_side_effect,sideeffect_40
compound/compound_718,has_side_effect,sideeffect_400
compound/compound_718,has_side_effect,sideeffect_403
compound/compound_718,has_side_effect,sideeffect_405
compound/compound_718,has_side_effect,sideeffect_406
compound/compound_718,has_side_effect,sideeffect_4064
compound/compound_718,has_side_effect,sideeffect_407
compound/compound_718,has_side_effect,sideeffect_409
compound/compound_718,has_side_effect,sideeffect_41
compound/compound_718,has_side_effect,sideeffect_410
compound/compound_718,has_side_effect,sideeffect_411
compound/compound_718,has_side_effect,sideeffect_413
compound/compound_718,has_side_effect,sideeffect_415
compound/compound_718,has_side_effect,sideeffect_42
compound/compound_718,has_side_effect,sideeffect_43
compound/compound_718,has_side_effect,sideeffect_430
compound/compound_718,has_side_effect,sideeffect_435
compound/compound_718,has_side_effect,sideeffect_436
compound/compound_718,has_side_effect,sideeffect_44
compound/compound_718,has_side_effect,sideeffect_4400
compound/compound_718,has_side_effect,sideeffect_45
compound/compound_718,has_side_effect,sideeffect_456
compound/compound_718,has_side_effect,sideeffect_457
compound/compound_718,has_side_effect,sideeffect_459
compound/compound_718,has_side_effect,sideeffect_46
compound/compound_718,has_side_effect,sideeffect_4606
compound/compound_718,has_side_effect,sideeffect_469
compound/compound_718,has_side_effect,sideeffect_472
compound/compound_718,has_side_effect,sideeffect_48
compound/compound_718,has_side_effect,sideeffect_49
compound/compound_718,has_side_effect,sideeffect_491
compound/compound_718,has_side_effect,sideeffect_5
compound/compound_718,has_side_effect,sideeffect_50
compound/compound_718,has_side_effect,sideeffect_501
compound/compound_718,has_side_effect,sideeffect_502
compound/compound_718,has_side_effect,sideeffect_51
compound/compound_718,has_side_effect,sideeffect_52
compound/compound_718,has_side_effect,sideeffect_520
compound/compound_718,has_side_effect,sideeffect_521
compound/compound_718,has_side_effect,sideeffect_522
compound/compound_718,has_side_effect,sideeffect_523
compound/compound_718,has_side_effect,sideeffect_524
compound/compound_718,has_side_effect,sideeffect_525
compound/compound_718,has_side_effect,sideeffect_53
compound/compound_718,has_side_effect,sideeffect_531
compound/compound_718,has_side_effect,sideeffect_534
compound/compound_718,has_side_effect,sideeffect_535
compound/compound_718,has_side_effect,sideeffect_54
compound/compound_718,has_side_effect,sideeffect_543
compound/compound_718,has_side_effect,sideeffect_545
compound/compound_718,has_side_effect,sideeffect_548
compound/compound_718,has_side_effect,sideeffect_55
compound/compound_718,has_side_effect,sideeffect_56
compound/compound_718,has_side_effect,sideeffect_561
compound/compound_718,has_side_effect,sideeffect_57
compound/compound_718,has_side_effect,sideeffect_570
compound/compound_718,has_side_effect,sideeffect_571
compound/compound_718,has_side_effect,sideeffect_573
compound/compound_718,has_side_effect,sideeffect_58
compound/compound_718,has_side_effect,sideeffect_59
compound/compound_718,has_side_effect,sideeffect_594
compound/compound_718,has_side_effect,sideeffect_595
compound/compound_718,has_side_effect,sideeffect_598
compound/compound_718,has_side_effect,sideeffect_599
compound/compound_718,has_side_effect,sideeffect_6
compound/compound_718,has_side_effect,sideeffect_60
compound/compound_718,has_side_effect,sideeffect_602
compound/compound_718,has_side_effect,sideeffect_603
compound/compound_718,has_side_effect,sideeffect_61
compound/compound_718,has_side_effect,sideeffect_610
compound/compound_718,has_side_effect,sideeffect_611
compound/compound_718,has_side_effect,sideeffect_612
compound/compound_718,has_side_effect,sideeffect_614
compound/compound_323,is_substance_that_treats,disease_1593
compound/compound_323,is_substance_that_treats,disease_246
compound/compound_323,is_substance_that_treats,disease_2712
compound/compound_323,is_substance_that_treats,disease_1127
compound/compound_323,is_substance_that_treats,disease_145
compound/compound_323,is_substance_that_treats,disease_2013
compound/compound_323,is_substance_that_treats,disease_281
compound/compound_323,is_substance_that_treats,disease_2883
compound/compound_323,is_substance_that_treats,disease_2885
compound/compound_323,is_substance_that_treats,disease_299
compound/compound_323,is_substance_that_treats,disease_3006
compound/compound_323,is_substance_that_treats,disease_3405
compound/compound_323,is_substance_that_treats,disease_350
compound/compound_323,is_substance_that_treats,disease_804
compound/compound_323,is_substance_that_treats,disease_806
compound/compound_323,,
compound/compound_718,decrease_activity,activity_14
compound/compound_718,decrease_activity,activity_15
compound/compound_718,decrease_activity,activity_6
compound/compound_718,decrease_activity,activity_40
compound/compound_718,decrease_efficacy,compound_10152
compound/compound_718,decrease_efficacy,compound_1047
compound/compound_718,decrease_efficacy,compound_1100
compound/compound_718,decrease_efficacy,compound_1104
compound/compound_718,decrease_efficacy,compound_1112
compound/compound_718,decrease_efficacy,compound_11628
compound/compound_718,decrease_efficacy,compound_1231
compound/compound_718,decrease_efficacy,compound_1232
compound/compound_718,decrease_efficacy,compound_1240
compound/compound_718,decrease_efficacy,compound_1255
compound/compound_718,decrease_efficacy,compound_1256
compound/compound_718,decrease_efficacy,compound_1257
compound/compound_718,decrease_efficacy,compound_1265
compound/compound_718,decrease_efficacy,compound_1266
compound/compound_718,decrease_efficacy,compound_1276
compound/compound_718,decrease_efficacy,compound_1277
compound/compound_718,decrease_efficacy,compound_1278
compound/compound_718,decrease_efficacy,compound_1316
compound/compound_718,decrease_efficacy,compound_1329
compound/compound_718,decrease_efficacy,compound_1620
compound/compound_718,decrease_efficacy,compound_187
compound/compound_718,decrease_efficacy,compound_212
compound/compound_718,decrease_efficacy,compound_253
compound/compound_718,decrease_efficacy,compound_274
compound/compound_718,decrease_efficacy,compound_29
compound/compound_718,decrease_efficacy,compound_320
compound/compound_718,decrease_efficacy,compound_329
compound/compound_718,decrease_efficacy,compound_348
compound/compound_718,decrease_efficacy,compound_365
compound/compound_718,decrease_efficacy,compound_375
